geo_hash,date,slot_30min,predicted_request_count
qquk1g,2025-09-29,0,1.3289673
qquk1g,2025-09-29,1,1.3165061
qquk1g,2025-09-29,2,1.1361303
qquk1g,2025-09-29,3,1.3369486
qquk1g,2025-09-29,4,1.2812309
qquk1g,2025-09-29,5,1.4017229
qquk1g,2025-09-29,6,1.3014548
qquk1g,2025-09-29,7,1.3899603
qquk1g,2025-09-29,8,1.4507887
qquk1g,2025-09-29,9,1.3735766
qquk1g,2025-09-29,10,1.4638059
qquk1g,2025-09-29,11,1.2690358
qquk1g,2025-09-29,12,1.4580793
qquk1g,2025-09-29,13,1.2943802
qquk1g,2025-09-29,14,1.354147
qquk1g,2025-09-29,15,1.3192575
qquk1g,2025-09-29,16,1.5315676
qquk1g,2025-09-29,17,1.2943337
qquk1g,2025-09-29,18,1.3839431
qquk1g,2025-09-29,19,1.4537363
qquk1g,2025-09-29,20,1.5485668
qquk1g,2025-09-29,21,1.4629834
qquk1g,2025-09-29,22,1.4899292
qquk1g,2025-09-29,23,1.482105
qquk1g,2025-09-29,24,1.3800654
qquk1g,2025-09-29,25,1.3515236
qquk1g,2025-09-29,26,1.3761299
qquk1g,2025-09-29,27,1.447763
qquk1g,2025-09-29,28,1.3613408
qquk1g,2025-09-29,29,1.2979431
qquk1g,2025-09-29,30,1.3849518
qquk1g,2025-09-29,31,1.5127833
qquk1g,2025-09-29,32,1.38445
qquk1g,2025-09-29,33,1.4077148
qquk1g,2025-09-29,34,1.3905594
qquk1g,2025-09-29,35,1.4554448
qquk1g,2025-09-29,36,1.2359781
qquk1g,2025-09-29,37,1.3891675
qquk1g,2025-09-29,38,1.3574865
qquk1g,2025-09-29,39,1.4482474
qquk1g,2025-09-29,40,1.4959998
qquk1g,2025-09-29,41,1.5194969
qquk1g,2025-09-29,42,1.2331681
qquk1g,2025-09-29,43,1.3656635
qquk1g,2025-09-29,44,1.3517778
qquk1g,2025-09-29,45,1.303669
qquk1g,2025-09-29,46,1.4455364
qquk1g,2025-09-29,47,1.4061077
qqv5cn,2025-09-29,0,1.327719
qqv5cn,2025-09-29,1,1.3153505
qqv5cn,2025-09-29,2,1.137914
qqv5cn,2025-09-29,3,1.336031
qqv5cn,2025-09-29,4,1.281399
qqv5cn,2025-09-29,5,1.4005642
qqv5cn,2025-09-29,6,1.3031073
qqv5cn,2025-09-29,7,1.388201
qqv5cn,2025-09-29,8,1.4497538
qqv5cn,2025-09-29,9,1.3736985
qqv5cn,2025-09-29,10,1.4595175
qqv5cn,2025-09-29,11,1.2709322
qqv5cn,2025-09-29,12,1.4571087
qqv5cn,2025-09-29,13,1.2963037
qqv5cn,2025-09-29,14,1.3539288
qqv5cn,2025-09-29,15,1.317641
qqv5cn,2025-09-29,16,1.527024
qqv5cn,2025-09-29,17,1.2945597
qqv5cn,2025-09-29,18,1.3836224
qqv5cn,2025-09-29,19,1.4509189
qqv5cn,2025-09-29,20,1.548583
qqv5cn,2025-09-29,21,1.4617741
qqv5cn,2025-09-29,22,1.4871697
qqv5cn,2025-09-29,23,1.4829435
qqv5cn,2025-09-29,24,1.3764417
qqv5cn,2025-09-29,25,1.3507261
qqv5cn,2025-09-29,26,1.3746967
qqv5cn,2025-09-29,27,1.4468923
qqv5cn,2025-09-29,28,1.359684
qqv5cn,2025-09-29,29,1.2956474
qqv5cn,2025-09-29,30,1.3834808
qqv5cn,2025-09-29,31,1.5104754
qqv5cn,2025-09-29,32,1.3805137
qqv5cn,2025-09-29,33,1.4042323
qqv5cn,2025-09-29,34,1.3919287
qqv5cn,2025-09-29,35,1.4534538
qqv5cn,2025-09-29,36,1.2375448
qqv5cn,2025-09-29,37,1.3881125
qqv5cn,2025-09-29,38,1.3569429
qqv5cn,2025-09-29,39,1.4509983
qqv5cn,2025-09-29,40,1.4924395
qqv5cn,2025-09-29,41,1.5173652
qqv5cn,2025-09-29,42,1.2348852
qqv5cn,2025-09-29,43,1.3624182
qqv5cn,2025-09-29,44,1.3476284
qqv5cn,2025-09-29,45,1.3024585
qqv5cn,2025-09-29,46,1.4442217
qqv5cn,2025-09-29,47,1.4052706
qqvbj8,2025-09-29,0,1.3222413
qqvbj8,2025-09-29,1,1.3089256
qqvbj8,2025-09-29,2,1.1319265
qqvbj8,2025-09-29,3,1.3308678
qqvbj8,2025-09-29,4,1.278049
qqvbj8,2025-09-29,5,1.3925755
qqvbj8,2025-09-29,6,1.2960191
qqvbj8,2025-09-29,7,1.3816867
qqvbj8,2025-09-29,8,1.4413459
qqvbj8,2025-09-29,9,1.3655341
qqvbj8,2025-09-29,10,1.4537776
qqvbj8,2025-09-29,11,1.2650299
qqvbj8,2025-09-29,12,1.4490106
qqvbj8,2025-09-29,13,1.29038
qqvbj8,2025-09-29,14,1.3477516
qqvbj8,2025-09-29,15,1.3106644
qqvbj8,2025-09-29,16,1.5214579
qqvbj8,2025-09-29,17,1.287442
qqvbj8,2025-09-29,18,1.3767562
qqvbj8,2025-09-29,19,1.4451971
qqvbj8,2025-09-29,20,1.5430353
qqvbj8,2025-09-29,21,1.4559276
qqvbj8,2025-09-29,22,1.4808786
qqvbj8,2025-09-29,23,1.4737494
qqvbj8,2025-09-29,24,1.3700607
qqvbj8,2025-09-29,25,1.3452365
qqvbj8,2025-09-29,26,1.3692927
qqvbj8,2025-09-29,27,1.4367914
qqvbj8,2025-09-29,28,1.3544536
qqvbj8,2025-09-29,29,1.2903547
qqvbj8,2025-09-29,30,1.3772454
qqvbj8,2025-09-29,31,1.50283
qqvbj8,2025-09-29,32,1.3768702
qqvbj8,2025-09-29,33,1.4001961
qqvbj8,2025-09-29,34,1.3819361
qqvbj8,2025-09-29,35,1.443784
qqvbj8,2025-09-29,36,1.2313426
qqvbj8,2025-09-29,37,1.3815575
qqvbj8,2025-09-29,38,1.3512914
qqvbj8,2025-09-29,39,1.4425402
qqvbj8,2025-09-29,40,1.4825895
qqvbj8,2025-09-29,41,1.5105803
qqvbj8,2025-09-29,42,1.228302
qqvbj8,2025-09-29,43,1.3564508
qqvbj8,2025-09-29,44,1.3432951
qqvbj8,2025-09-29,45,1.296468
qqvbj8,2025-09-29,46,1.4401524
qqvbj8,2025-09-29,47,1.4002924
qqwxbh,2025-09-29,0,1.3226326
qqwxbh,2025-09-29,1,1.3002467
qqwxbh,2025-09-29,2,1.1501861
qqwxbh,2025-09-29,3,1.3264027
qqwxbh,2025-09-29,4,1.2856355
qqwxbh,2025-09-29,5,1.3839846
qqwxbh,2025-09-29,6,1.2968662
qqwxbh,2025-09-29,7,1.3770466
qqwxbh,2025-09-29,8,1.4300401
qqwxbh,2025-09-29,9,1.356931
qqwxbh,2025-09-29,10,1.4373233
qqwxbh,2025-09-29,11,1.276586
qqwxbh,2025-09-29,12,1.438082
qqwxbh,2025-09-29,13,1.2955599
qqwxbh,2025-09-29,14,1.3438997
qqwxbh,2025-09-29,15,1.3057585
qqwxbh,2025-09-29,16,1.511939
qqwxbh,2025-09-29,17,1.297148
qqwxbh,2025-09-29,18,1.3751016
qqwxbh,2025-09-29,19,1.4334948
qqwxbh,2025-09-29,20,1.5352955
qqwxbh,2025-09-29,21,1.45135
qqwxbh,2025-09-29,22,1.461523
qqwxbh,2025-09-29,23,1.4661329
qqwxbh,2025-09-29,24,1.3657076
qqwxbh,2025-09-29,25,1.3475845
qqwxbh,2025-09-29,26,1.3729136
qqwxbh,2025-09-29,27,1.4241617
qqwxbh,2025-09-29,28,1.3501327
qqwxbh,2025-09-29,29,1.294339
qqwxbh,2025-09-29,30,1.3798645
qqwxbh,2025-09-29,31,1.4868696
qqwxbh,2025-09-29,32,1.3760974
qqwxbh,2025-09-29,33,1.3965299
qqwxbh,2025-09-29,34,1.3791192
qqwxbh,2025-09-29,35,1.4358177
qqwxbh,2025-09-29,36,1.2486477
qqwxbh,2025-09-29,37,1.3795373
qqwxbh,2025-09-29,38,1.3524184
qqwxbh,2025-09-29,39,1.4338257
qqwxbh,2025-09-29,40,1.4622536
qqwxbh,2025-09-29,41,1.4995503
qqwxbh,2025-09-29,42,1.2408185
qqwxbh,2025-09-29,43,1.3534815
qqwxbh,2025-09-29,44,1.3308613
qqwxbh,2025-09-29,45,1.2973311
qqwxbh,2025-09-29,46,1.4425027
qqwxbh,2025-09-29,47,1.3999403
qw8nq3,2025-09-29,0,1.3948443
qw8nq3,2025-09-29,1,1.3437972
qw8nq3,2025-09-29,2,1.2727704
qw8nq3,2025-09-29,3,1.3680091
qw8nq3,2025-09-29,4,1.3816402
qw8nq3,2025-09-29,5,1.4164495
qw8nq3,2025-09-29,6,1.394319
qw8nq3,2025-09-29,7,1.415134
qw8nq3,2025-09-29,8,1.4275634
qw8nq3,2025-09-29,9,1.3661222
qw8nq3,2025-09-29,10,1.4456413
qw8nq3,2025-09-29,11,1.4003205
qw8nq3,2025-09-29,12,1.4462628
qw8nq3,2025-09-29,13,1.3734097
qw8nq3,2025-09-29,14,1.3803849
qw8nq3,2025-09-29,15,1.3709524
qw8nq3,2025-09-29,16,1.4768934
qw8nq3,2025-09-29,17,1.4020994
qw8nq3,2025-09-29,18,1.4283619
qw8nq3,2025-09-29,19,1.431598
qw8nq3,2025-09-29,20,1.504616
qw8nq3,2025-09-29,21,1.4982452
qw8nq3,2025-09-29,22,1.4562175
qw8nq3,2025-09-29,23,1.4482923
qw8nq3,2025-09-29,24,1.4231372
qw8nq3,2025-09-29,25,1.4515631
qw8nq3,2025-09-29,26,1.4853361
qw8nq3,2025-09-29,27,1.3853118
qw8nq3,2025-09-29,28,1.3903291
qw8nq3,2025-09-29,29,1.377742
qw8nq3,2025-09-29,30,1.4846392
qw8nq3,2025-09-29,31,1.4581733
qw8nq3,2025-09-29,32,1.4256411
qw8nq3,2025-09-29,33,1.473669
qw8nq3,2025-09-29,34,1.44957
qw8nq3,2025-09-29,35,1.4401228
qw8nq3,2025-09-29,36,1.4088054
qw8nq3,2025-09-29,37,1.4390934
qw8nq3,2025-09-29,38,1.4366279
qw8nq3,2025-09-29,39,1.4344344
